#{"t_start": 1777885270.7230506, "env_id": "None"}
r,l,t
451.158234,1200,343.100259
137.555043,240,344.30647
414.355588,1200,350.273448
416.582292,1200,356.143949
162.930067,254,357.397848
109.043167,305,358.922615
-68.838798,46,359.146862
1.528947,278,360.504548
155.722213,265,361.798848
438.241011,1200,367.699932
149.450374,292,369.12779
167.427568,248,370.349603
156.545947,310,371.857987
168.575643,312,373.405641
164.673737,241,374.581695
424.802177,1200,380.442446
163.513481,250,381.66556
428.98363,1200,387.553275
131.275674,313,389.091844
146.683505,301,390.570489
484.059399,1200,396.443813
-236.019987,263,397.73745
158.97983,272,399.067236
142.845133,269,400.380793
396.609741,1200,406.327687
364.952641,1200,412.248542
352.983505,1200,418.173904
142.704912,349,419.892486
342.318956,1200,425.875573
-170.833136,288,427.299549
110.854084,301,428.771658
131.196154,294,430.227927
120.90919,243,431.422431
130.186131,320,433.011193
334.165707,1200,438.87694
322.418479,1200,444.819398
131.627669,287,446.230181
129.751292,329,447.842886
339.782329,1200,453.723467
374.93663,1200,459.651777
109.288583,250,460.898785
125.470733,262,462.207606
389.813433,1200,468.124637
136.73037,316,469.665397
124.538731,267,470.969913
337.987842,1200,476.852905
117.874835,330,478.467634
137.141853,346,480.155824
86.834019,256,481.409995
410.40656,1200,487.397104
49.765181,253,488.643898
-57.3197,260,489.91472
413.991706,1200,495.784339
114.993383,344,497.51344
106.718088,317,499.062844
103.653804,327,500.668108
46.188621,246,501.89103
35.171253,252,503.143672
48.419836,287,504.54897
335.300129,1200,510.495837
95.972966,297,511.96509
80.361404,305,513.463146
278.446769,1200,519.361284
110.837748,285,520.786012
123.438283,326,522.382134
79.44799,254,523.635765
69.10054,274,524.978203
42.320848,291,526.409194
104.006458,305,527.920952
17.412329,264,529.211676
135.199086,342,530.877827
96.117097,267,532.177547
82.470443,242,533.372919
83.5482,280,534.728703
220.630226,1200,540.606875
337.454438,1200,546.588222
112.273684,324,548.186527
105.982093,305,549.722161
114.667446,263,551.016888
115.202679,328,552.626168
80.386069,298,554.09193
-93.853229,80,554.482385
-59.319539,1200,560.475328
65.298329,295,561.958224
-121.986829,1200,567.913004
-139.494699,114,568.478897
99.315177,279,569.846324
130.571026,248,571.100837
31.677988,295,572.538939
147.414248,265,573.853596
-51.476166,1200,579.75293
116.03122,1200,585.677202
228.604922,1200,591.557194
61.368994,306,593.050339
140.453749,270,594.384869
18.003302,1200,600.315463
106.184132,322,601.894573
117.990218,265,603.190976
121.765177,308,604.71027
115.600004,236,605.861219
373.121714,1200,611.730486
127.574961,241,612.906902
115.952951,263,614.199251
127.489317,256,615.445896
33.018144,1200,621.344719
376.301408,1200,627.234492
391.195207,1200,633.121772
448.951903,1200,639.011515
328.098012,1200,644.933374
105.082188,1200,650.819586
292.82031,1200,656.733887
357.671485,1200,662.625343
-24.390948,322,664.200493
-33.584595,277,665.558836
114.20045,308,667.058987
0.906235,297,668.510888
242.370153,1200,674.415069
98.621717,277,675.780196
397.933673,1200,681.702224
19.97977,1200,687.615515
-63.408719,350,689.335508
-97.588265,313,690.866482
8.293734,295,692.318646
70.585476,314,693.870639
106.571099,249,695.103045
-35.890817,1200,701.010906
235.223144,1200,706.958996
91.699789,302,708.434405
-180.261149,118,709.01185
284.812372,1200,714.930504
-0.99046,315,716.473088
69.218945,240,717.648858
-151.243923,86,718.085792
183.745764,1200,723.963153
211.513255,1200,729.840931
-93.839709,294,731.280185
236.198422,1200,737.180626
52.06719,331,738.815503
38.741767,304,740.311087
199.360515,1200,746.263151
-327.951978,256,747.528774
155.950402,1200,753.47001
126.384953,242,754.655948
236.365113,1200,760.541851
195.065901,1200,766.472269
-43.942006,277,767.843827
269.400238,1200,773.745452
-71.554756,235,774.893517
-23.330971,282,776.276581
-81.237234,238,777.447905
23.644575,329,779.06534
241.615255,1200,784.962976
-5.195782,285,786.356859
-18.232336,305,787.890006
207.986515,1200,793.782877
196.328918,1200,799.671074
46.298063,1200,805.569918
268.036946,1200,811.510069
214.91797,1200,817.539137
2.503697,282,818.943316
124.201779,1200,824.89242
-61.703208,248,826.133384
47.388452,342,827.827924
18.807342,1200,833.746368
368.15446,1200,839.656147
-71.746918,157,840.428924
109.471284,304,841.919544
54.554831,314,843.461243
74.383185,233,844.642699
112.952112,344,846.384205
87.450855,267,847.737482
94.096272,251,849.016091
220.427579,1200,854.953455
430.339269,1200,860.844131
-163.520082,262,862.163856
76.979129,288,863.579274
111.309509,252,864.86283
411.702741,1200,870.783931
111.181769,321,872.350996
470.759314,1200,878.237994
417.146226,1200,884.185156
160.097755,285,885.636621
394.222346,1200,891.563937
-126.159192,74,891.925478
163.123355,284,893.347875
150.94125,312,894.906545
135.881112,323,896.527862
486.157895,1200,902.407289
-106.413311,84,902.817748
129.486491,237,903.978463
171.105822,291,905.396249
440.398913,1200,911.299525
174.83213,274,912.628665
144.300704,242,913.815964
480.3264,1200,919.731422
139.533692,254,920.995005
146.299547,244,922.19667
166.072979,1200,928.116467
164.256234,311,929.640401
297.395775,1200,935.554199
152.597651,342,937.225925
135.508794,259,938.502197
113.938893,304,939.983613
-104.735877,91,940.426264
129.57549,309,941.96715
-89.501857,53,942.233745
154.497434,289,943.691692
483.935488,1200,949.57913
122.33467,248,950.786012
525.728546,1200,956.692134
381.225244,1200,962.663819
156.259278,1200,968.561326
-50.878992,296,970.06515
282.377129,1200,976.00765
124.433095,1200,981.928659
145.737131,258,983.191711
-183.464477,223,984.287745
161.862115,285,985.684884
-82.518265,94,986.144671
115.859952,238,987.306203
261.235608,1200,993.203714
-141.89851,227,994.325774
144.732245,244,995.515977
81.552228,301,996.980934
165.599586,274,998.323072
-572.77127,909,1002.785009
140.721278,309,1004.306992
-223.287956,831,1008.426585
67.596128,313,1009.955994
148.959837,282,1011.33808
163.666853,311,1012.852673
149.297136,251,1014.087295
165.902606,281,1015.458041
-34.508633,289,1016.86933
-1073.47043,1200,1022.743046
-72.035749,45,1022.963144
54.202956,289,1024.386731
-655.837488,1200,1030.2723
56.263613,1200,1036.150595
-98.68212,88,1036.584388
150.163221,249,1037.803685
108.665541,1200,1043.692747
186.289251,1200,1049.618704
-78.530282,46,1049.841572
-75.974485,67,1050.165914
262.928575,1200,1056.088292
-51.632187,77,1056.463351
1.109919,1200,1062.328607
101.610137,314,1063.873612
111.134242,289,1065.295756
133.508212,1200,1071.180269
136.246105,270,1072.497231
63.216504,295,1073.940968
40.4334,317,1075.494881
56.702206,293,1076.920901
18.734981,302,1078.391099
-83.076189,69,1078.732587
139.083533,243,1079.940354
-25.230542,334,1081.578934
155.122246,275,1082.940884
131.711902,263,1084.25714
-57.439563,69,1084.607126
46.336865,306,1086.130296
137.186792,257,1087.407531
29.880933,299,1088.893187
97.540372,258,1090.161837
-132.265751,368,1091.972407
152.204179,259,1093.240716
31.476327,308,1094.763584
-299.45131,805,1098.703129
71.406939,290,1100.133881
109.324431,310,1101.657359
142.247199,280,1103.020645
-110.01792,63,1103.330404
-108.835948,132,1103.978391
108.868731,309,1105.508939
18.126642,1200,1111.526484
-0.86408,624,1114.627494
108.84502,309,1116.136292
-14.232979,372,1117.95107
75.577116,1200,1123.844696
93.989733,1200,1129.749065
97.079159,346,1131.44632
61.877549,350,1133.153497
-160.479109,296,1134.610417
151.068276,264,1135.920778
-466.654006,1200,1141.834419
56.330911,1200,1147.752936
90.736252,345,1149.453929
75.191654,297,1150.923724
134.080434,255,1152.171564
14.728075,318,1153.728074
176.575498,1200,1159.621876
-173.99592,181,1160.536481
142.985093,250,1161.786267
152.980297,253,1163.024995
153.053483,259,1164.308478
176.072376,1200,1170.21017
-71.084423,72,1170.561894
34.901894,308,1172.092202
26.913587,343,1173.771473
80.624225,246,1174.993642
-22.011068,1200,1180.937624
100.91433,264,1182.227391
-109.081054,1194,1188.06977
60.163068,291,1189.494304
93.01876,253,1190.761334
37.006076,303,1192.280746
-209.612631,1200,1198.209999
-63.87558,197,1199.173982
-106.490203,422,1201.247575
-190.229724,1200,1207.131876
70.314004,309,1208.644305
-71.747879,1200,1214.515358
55.389949,351,1216.236763
39.792748,304,1217.721686
87.212158,258,1219.006667
-287.223089,1200,1224.895336
-29.12839,1200,1230.783436
-308.744719,1200,1236.705278
-70.336901,206,1237.713869
-41.036183,1200,1243.591425
42.400622,311,1245.128929
83.979813,325,1246.7164
31.294302,316,1248.25466
-351.555345,273,1249.597039
-172.850077,1200,1255.545066
-222.346911,1200,1261.489589
71.434615,335,1263.127423
91.183565,275,1264.473437
-0.88433,1200,1270.374732
-81.380759,85,1270.793628
87.776314,272,1272.126858
80.639602,331,1273.799421
73.272294,274,1275.166682
116.572182,262,1276.483726
-150.844906,1200,1282.395431
19.769332,284,1283.799043
48.394031,331,1285.419686
5.823918,1200,1291.353842
-50.306916,1200,1297.309908
-243.938904,1200,1303.232638
72.248292,277,1304.5943
68.022047,294,1306.034596
-6.837968,320,1307.614103
49.861122,280,1308.991365
-245.110874,267,1310.297846
-61.944892,1200,1316.266942
74.267411,1200,1322.186594
103.066553,271,1323.528897
23.776479,308,1325.044079
1.142798,307,1326.544916
24.3885,332,1328.160255
-402.557041,1200,1334.056318
-112.127987,1200,1339.951308
91.449749,243,1341.1365
68.932244,279,1342.499115
71.607845,1200,1348.377669
-355.522725,1200,1354.336069
-174.839926,262,1355.63766
-79.374097,279,1357.030542
100.440585,261,1358.332918
-142.205437,272,1359.688274
-204.092367,1200,1365.571671
-233.312657,1200,1371.480819
78.526694,315,1373.06362
-17.204612,268,1374.384783
124.522978,1200,1380.301143
106.991823,1200,1386.21081
87.821265,305,1387.700061
-606.472282,1200,1393.62913
97.267882,289,1395.048118
2.76272,1200,1400.965573
4.602313,323,1402.557636
21.646616,347,1404.266119
-425.650712,1200,1410.137006
128.284979,299,1411.605348
-65.273205,69,1411.946875
102.589966,263,1413.230278
145.993387,289,1414.641195
-43.621434,1200,1420.547294
-473.807316,1200,1426.602742
112.319297,286,1428.015143
-317.951656,1200,1433.978337
64.200094,237,1435.146551
-489.591373,1200,1441.040894
-6.303508,328,1442.646666
-340.888293,1200,1448.561005
34.404489,284,1449.952546
-2.945819,309,1451.48371
77.447742,313,1453.013532
47.084899,282,1454.391084
-16.254225,279,1455.791103
-566.802386,1200,1461.768826
25.312643,270,1463.095601
72.768589,291,1464.525313
