episode,mean_abs_error
0,1.1948209274419648
1,1.6817347883863243
2,1.0300401066447615
3,1.3944770164417644
4,2.1166020822591904
5,1.3421316843506135
6,1.2968974220048435
7,2.3014892323238914
8,1.9137642637511967
9,1.7358721442592548
10,1.4912799973465947
11,1.7341687269818922
12,1.3451506771692576
13,1.8941211649532752
14,1.7315233775599534
15,1.8627136027896725
16,1.133032427986555
17,1.826416398124708
18,1.1094928627335654
19,1.9892860713935978
20,1.633359776846061
21,1.5531730931683125
22,1.5432094989347789
23,1.9871730383143982
24,1.5671470564815613
25,1.7574787354300285
26,1.3199176183965835
27,1.4971547589348433
28,2.2198105276182853
29,1.4841970188774618
30,1.1685965862678673
31,1.3613136769806613
32,1.5321982811453807
33,1.9312358290402825
34,1.9541790839175088
35,1.4340783153298695
36,1.783859000401668
37,2.1858562882411414
38,2.1451347332807034
39,1.05057936356969
40,1.5749316453297175
41,1.5010541262155852
42,1.5373650711681996
43,1.981780111216696
44,1.7289317758151663
45,1.2640017654906233
46,1.2230895047967807
47,1.6160150124698398
48,1.6105216143385712
49,2.265202418907246
50,1.9757316882915805
51,2.1240392891138558
52,1.3225267077742953
53,1.70080479473734
54,1.9417539684286502
55,1.4760708052940907
56,2.005339304742196
57,1.4706823988946875
58,1.1725335116969013
59,1.760155939136561
60,2.0268535480905414
61,2.130940777948589
62,1.2186868652798573
63,2.011453303179067
64,1.6190598899600686
65,1.8074119135597602
66,1.1581283992546059
67,1.7121480449354876
68,1.6992693649815067
69,1.334317238424824
70,2.266210752384891
71,1.9102103390876433
72,1.7558969972054765
73,2.043747249493469
74,1.7294595933557757
75,1.5306661276239475
76,1.5474633931139528
77,1.7185671897876458
78,2.016901233232724
79,1.50631431390175
80,1.5961874463535706
81,1.4468025640979827
82,1.6141097304357346
83,1.9027797676185019
84,1.8708305063116806
85,1.341587746803864
86,2.0320294298747186
87,1.7746764645481412
88,1.6551614270018924
89,2.145968840103994
90,1.3726281481904072
91,1.5632458085068701
92,2.0424945419342073
93,1.349723980084579
94,1.2069433871520427
95,1.9129792142051139
96,1.6284570238432983
97,1.4923424502246325
98,1.2459282986946345
99,1.001506827075982
100,0.8170399830923213
101,1.3925614568649831
102,1.8670173971459703
103,1.6488881405874218
104,1.4079465397892423
105,1.5788776953826422
106,1.8365253044163106
107,1.7568998351849132
108,1.5186565010597528
109,1.4844506812729361
110,1.6148352537962072
111,1.7097234701551312
112,1.7163053757350668
113,2.4164098375899523
114,1.3108139440483086
115,1.9343381206933854
116,2.0310025930910123
117,1.4068361908339093
118,1.6982499964678406
119,2.14729522468178
120,1.7894655575323646
121,1.6972360738964387
122,1.7356131674409123
123,1.9975704859106014
124,2.187331370848012
125,1.465746247388484
126,1.3104320794985034
127,1.3330337002564938
128,1.5102337360829285
129,1.8769670881820903
130,1.3524713614086856
131,1.8749019148482913
132,1.7199185738810887
133,1.9491740375637194
134,1.487611891132292
135,1.8162803730875898
136,2.119592160089282
137,1.3939048597758612
138,1.5617579292111636
139,1.2616155417628896
140,2.352427615001374
141,1.1944426082335253
142,0.2823591715251469
143,0.5052904283492061
144,0.3170311291146038
145,1.561215910180549
